LASTITEM  ,      5000,0         
LASTITEM  ,     10000,0         
LASTITEM  ,     15000,0         
LASTITEM  ,     20000,0         
LASTITEM  ,     25000,0         
LASTITEM  ,     30000,0         
LASTITEM  ,     35000,0         
LASTITEM  ,     40000,0         
LASTITEM  ,     45000,0         
LASTITEM  ,     50000,0         
LASTITEM  ,     55000,0         
LASTITEM  ,     60000,0         
LASTITEM  ,     65000,0         
LASTITEM  ,     70000,0         
LASTITEM  ,     75000,0         
LASTITEM  ,     80000,0         
LASTITEM  ,     85000,0         
LASTITEM  ,     90000,0         
LASTITEM  ,     95000,0         
LASTITEM  ,    100000,0         
REVERSE   ,      5000,2000      
REVERSE   ,     10000,3000      
REVERSE   ,     15000,5000      
REVERSE   ,     20000,7000      
REVERSE   ,     25000,8000      
REVERSE   ,     30000,10000     
REVERSE   ,     35000,12000     
REVERSE   ,     40000,14000     
REVERSE   ,     45000,16000     
REVERSE   ,     50000,18000     
REVERSE   ,     55000,20000     
REVERSE   ,     60000,22000     
REVERSE   ,     65000,24000     
REVERSE   ,     70000,25000     
REVERSE   ,     75000,27000     
REVERSE   ,     80000,29000     
REVERSE   ,     85000,31000     
REVERSE   ,     90000,33000     
REVERSE   ,     95000,35000     
REVERSE   ,    100000,36500     
SHUFFLE   ,      5000,3115500   
SHUFFLE   ,     10000,6243500   
SHUFFLE   ,     15000,9304500   
SHUFFLE   ,     20000,12587500  
SHUFFLE   ,     25000,15759000  
SHUFFLE   ,     30000,18692000  
SHUFFLE   ,     35000,21829000  
SHUFFLE   ,     40000,25268500  
SHUFFLE   ,     45000,28425500  
SHUFFLE   ,     50000,31530000  
SHUFFLE   ,     55000,34584000  
SHUFFLE   ,     60000,37666000  
SHUFFLE   ,     65000,40500000  
SHUFFLE   ,     70000,44354500  
SHUFFLE   ,     75000,47678500  
SHUFFLE   ,     80000,51417000  
SHUFFLE   ,     85000,54691500  
SHUFFLE   ,     90000,58239500  
SHUFFLE   ,     95000,61726500  
SHUFFLE   ,    100000,64985000  
SORTASC   ,      5000,560000    
SORTASC   ,     10000,1246500   
SORTASC   ,     15000,1995500   
SORTASC   ,     20000,2782500   
SORTASC   ,     25000,3593500   
SORTASC   ,     30000,4416500   
SORTASC   ,     35000,5246500   
SORTASC   ,     40000,6110000   
SORTASC   ,     45000,6994000   
SORTASC   ,     50000,7883000   
SORTASC   ,     55000,8804000   
SORTASC   ,     60000,9680000   
SORTASC   ,     65000,10706000  
SORTASC   ,     70000,11495500  
SORTASC   ,     75000,12621000  
SORTASC   ,     80000,13464500  
SORTASC   ,     85000,14652000  
SORTASC   ,     90000,15543000  
SORTASC   ,     95000,16859500  
SORTASC   ,    100000,17755000  
SORTDSC   ,      5000,564000    
SORTDSC   ,     10000,1259000   
SORTDSC   ,     15000,2017000   
SORTDSC   ,     20000,2806000   
SORTDSC   ,     25000,3609000   
SORTDSC   ,     30000,4454000   
SORTDSC   ,     35000,5284000   
SORTDSC   ,     40000,6171000   
SORTDSC   ,     45000,7039500   
SORTDSC   ,     50000,7918000   
SORTDSC   ,     55000,8819000   
SORTDSC   ,     60000,9711000   
SORTDSC   ,     65000,10698500  
SORTDSC   ,     70000,11541000  
SORTDSC   ,     75000,12627000  
SORTDSC   ,     80000,13510000  
SORTDSC   ,     85000,14617000  
SORTDSC   ,     90000,15602500  
SORTDSC   ,     95000,16715500  
SORTDSC   ,    100000,17754500  
